pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,6.80021462176,space,-1,miss,target,NaN,targetNaN,lion
2,1,coffeepot,2.55021530093,left,-1,miss,path,1,path1,lion
3,1,mosquito,1.15023673291,left,-1,miss,path,2,path2,lion
4,1,canoe,1.06693572365,right,-1,miss,path,3,path3,lion
5,1,goose,3.46683912876,right,-1,miss,decision,1,decision1,lion
6,1,sailor,1.23356672068,left,-1,miss,arm1,1,arm11,lion
7,1,cooker,1.41688991652,right,-1,miss,arm1,2,arm12,lion
8,1,tooth,0.983570720244,left,-1,miss,arm1,3,arm13,lion
9,1,garlic,1.93357170135,right,-1,miss,decision,2,decision2,lion
10,1,mug,5.70017673844,right,-1,miss,arm2,1,arm21,lion
11,1,branch,0.700241034385,left,-1,miss,arm2,2,arm22,lion
12,1,bolt,2.20022729982,right,-1,miss,arm2,3,arm23,lion
13,2,bolt,0.683610716602,space,-1,miss,target,NaN,targetNaN,bolt
14,2,coffeepot,6.28349087859,left,-1,miss,path,1,path1,bolt
15,2,mosquito,1.10023288423,left,-1,miss,path,2,path2,bolt
16,2,canoe,0.816960551543,right,-1,miss,path,3,path3,bolt
17,2,goose,1.13362180995,left,-1,miss,decision,1,decision1,bolt
18,2,sailor,3.08437351428,left,-1,miss,arm1,1,arm11,bolt
19,2,cooker,1.23358634149,right,-1,miss,arm1,2,arm12,bolt
20,2,tooth,1.80022971472,left,-1,miss,arm1,3,arm13,bolt
21,2,crutches,1.55060741579,left,-1,miss,decision,2,decision2,bolt
22,2,stapler,7.80012859195,right,-1,miss,arm2,1,arm21,bolt
23,2,rose,1.20025688206,right,-1,miss,arm2,2,arm22,bolt
24,2,lion,2.70022111171,left,-1,miss,arm2,3,arm23,bolt
25,3,lion,0.600339893252,space,1,correct,target,NaN,targetNaN,lion
26,3,coffeepot,2.58363652555,left,1,correct,path,1,path1,lion
27,3,mosquito,0.300226545194,left,1,correct,path,2,path2,lion
28,3,canoe,0.114295589388,right,1,correct,path,3,path3,lion
29,3,goose,3.28373840294,left,1,correct,decision,1,decision1,lion
30,3,sailor,1.8836961427,left,1,correct,arm1,1,arm11,lion
31,3,cooker,1.40024873184,right,1,correct,arm1,2,arm12,lion
32,3,tooth,0.683572380512,left,1,correct,arm1,3,arm13,lion
33,3,crutches,2.08386578743,left,1,correct,decision,2,decision2,lion
34,3,stapler,1.21692613966,right,1,correct,arm2,1,arm21,lion
35,3,rose,0.651061864512,right,1,correct,arm2,2,arm22,lion
36,3,lion,1.0669508166,left,1,correct,arm2,3,arm23,lion
37,4,lion,0.816974738904,space,1,correct,target,NaN,targetNaN,lion
38,4,coffeepot,1.4004011706,left,1,correct,path,1,path1,lion
39,4,mosquito,0.516926290526,left,1,correct,path,2,path2,lion
40,4,canoe,0.683593812515,right,1,correct,path,3,path3,lion
41,4,goose,0.967084087315,right,1,correct,decision,1,decision1,lion
42,4,sailor,2.533570192,left,1,correct,arm1,1,arm11,lion
43,4,cooker,1.40006218292,right,1,correct,arm1,2,arm12,lion
44,4,tooth,4.86698492669,left,1,correct,arm1,3,arm13,lion
45,4,crutches,0.916912103188,left,1,correct,decision,2,decision2,lion
46,4,stapler,1.31713125284,right,1,correct,arm2,1,arm21,lion
47,4,rose,1.03360928275,right,1,correct,arm2,2,arm22,lion
48,4,lion,1.66690553777,left,1,correct,arm2,3,arm23,lion
49,5,lion,0.7670379029,space,1,correct,target,NaN,targetNaN,lion
50,5,coffeepot,1.85023326153,left,1,correct,path,1,path1,lion
51,5,mosquito,0.566921385354,left,1,correct,path,2,path2,lion
52,5,canoe,0.617013074982,right,1,correct,path,3,path3,lion
53,5,goose,1.35027506901,right,1,correct,decision,1,decision1,lion
54,5,sailor,1.41705563711,left,1,correct,arm1,1,arm11,lion
55,5,cooker,0.733495632827,right,1,correct,arm1,2,arm12,lion
56,5,tooth,0.600245109526,left,1,correct,arm1,3,arm13,lion
57,5,crutches,1.35023492179,left,1,correct,decision,2,decision2,lion
58,5,stapler,1.6335561556,right,1,correct,arm2,1,arm21,lion
59,5,rose,1.25033740286,right,1,correct,arm2,2,arm22,lion
60,5,lion,0.783584303979,left,1,correct,arm2,3,arm23,lion
61,6,bolt,0.500280879787,space,1,correct,target,NaN,targetNaN,bolt
62,6,coffeepot,1.58357675746,left,1,correct,path,1,path1,bolt
63,6,mosquito,0.267015112564,left,1,correct,path,2,path2,bolt
64,6,canoe,0.316937157477,right,1,correct,path,3,path3,bolt
65,6,domino,1.65024563781,left,1,correct,decision,1,decision1,bolt
66,6,ambulance,1.83354438312,right,1,correct,arm1,1,arm11,bolt
67,6,trunk,1.48356996558,left,1,correct,arm1,2,arm12,bolt
68,6,peach,0.766943119175,left,1,correct,arm1,3,arm13,bolt
69,6,garlic,1.95030193444,left,1,correct,decision,2,decision2,bolt
70,6,mug,3.65019734029,right,1,correct,arm2,1,arm21,bolt
71,6,branch,2.51687195594,left,1,correct,arm2,2,arm22,bolt
72,6,bolt,0.800278917712,right,1,correct,arm2,3,arm23,bolt
73,7,bolt,0.0169822854223,space,1,correct,target,NaN,targetNaN,bolt
74,7,coffeepot,2.76691534818,left,1,correct,path,1,path1,bolt
75,7,mosquito,0.483657202916,left,1,correct,path,2,path2,bolt
76,7,canoe,0.113984674623,right,1,correct,path,3,path3,bolt
77,7,domino,6.85021243332,left,1,correct,decision,1,decision1,bolt
78,7,ambulance,1.73361516901,right,1,correct,arm1,1,arm11,bolt
79,7,trunk,0.966938289406,left,1,correct,arm1,2,arm12,bolt
80,7,peach,0.616937006533,left,1,correct,arm1,3,arm13,bolt
81,7,garlic,1.55022103625,left,1,correct,decision,2,decision2,bolt
82,7,mug,3.96690810355,right,1,correct,arm2,1,arm21,bolt
83,7,branch,0.600244505797,left,1,correct,arm2,2,arm22,bolt
84,7,bolt,0.633590265643,right,1,correct,arm2,3,arm23,bolt
85,8,lion,1.7002712203,space,1,correct,target,NaN,targetNaN,lion
86,8,coffeepot,1.25025771209,left,1,correct,path,1,path1,lion
87,8,mosquito,0.300238317694,left,1,correct,path,2,path2,lion
88,8,canoe,0.483686785097,right,1,correct,path,3,path3,lion
89,8,goose,1.90038381371,right,1,correct,decision,1,decision1,lion
90,8,sailor,1.51684539235,left,1,correct,arm1,1,arm11,lion
91,8,cooker,0.733376700431,right,1,correct,arm1,2,arm12,lion
92,8,tooth,0.400237563066,left,1,correct,arm1,3,arm13,lion
93,8,crutches,1.91712491383,right,1,correct,decision,2,decision2,lion
94,8,stapler,3.73351163138,right,1,correct,arm2,1,arm21,lion
95,8,rose,0.533611546736,right,1,correct,arm2,2,arm22,lion
96,8,lion,1.38354989199,left,1,correct,arm2,3,arm23,lion
97,9,bolt,0.700306235987,space,1,correct,target,NaN,targetNaN,bolt
98,9,coffeepot,1.23381001898,left,1,correct,path,1,path1,bolt
99,9,mosquito,0.250277332962,left,1,correct,path,2,path2,bolt
100,9,canoe,0.500240128837,right,1,correct,path,3,path3,bolt
101,9,domino,2.25025469356,left,1,correct,decision,1,decision1,bolt
102,9,ambulance,1.68356875819,right,1,correct,arm1,1,arm11,bolt
103,9,trunk,1.11696341919,left,1,correct,arm1,2,arm12,bolt
104,9,peach,0.400245109515,left,1,correct,arm1,3,arm13,bolt
105,9,garlic,1.15028321918,left,1,correct,decision,2,decision2,bolt
