pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,0.600264489418,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,10.2834510284,left,1,correct,path,1,path1,lion
3,1,mosquito,0.450248702196,left,1,correct,path,2,path2,lion
4,1,canoe,0.300369657343,right,1,correct,path,3,path3,lion
5,1,goose,0.616924726404,right,1,correct,decision,1,decision1,lion
6,1,sailor,0.283652066952,left,1,correct,arm1,1,arm11,lion
7,1,cooker,0.266917874105,left,1,correct,arm1,2,arm12,lion
8,1,tooth,0.66699146782,left,1,correct,arm1,3,arm13,lion
9,1,crutches,0.800307172583,left,1,correct,decision,2,decision2,lion
10,1,stapler,0.350251358701,right,1,correct,arm2,1,arm21,lion
11,1,rose,0.516927684657,right,1,correct,arm2,2,arm22,lion
12,1,lion,0.300349130761,left,1,correct,arm2,3,arm23,lion
13,2,lion,0.45026258775,space,1,correct,target,NaN,targetNaN,lion
14,2,coffeepot,0.28361433465,left,1,correct,path,1,path1,lion
15,2,mosquito,0.850470508682,left,1,correct,path,2,path2,lion
16,2,canoe,0.113921524957,right,1,correct,path,3,path3,lion
17,2,goose,1.4502535318,left,1,correct,decision,1,decision1,lion
18,2,sailor,0.533650708618,left,1,correct,arm1,1,arm11,lion
19,2,cooker,0.716924183303,left,1,correct,arm1,2,arm12,lion
20,2,tooth,0.550253290217,left,1,correct,arm1,3,arm13,lion
21,2,crutches,0.716911505209,left,1,correct,decision,2,decision2,lion
22,2,stapler,0.316973446636,right,1,correct,arm2,1,arm21,lion
23,2,rose,0.333604705287,right,1,correct,arm2,2,arm22,lion
24,2,lion,0.216913618147,left,1,correct,arm2,3,arm23,lion
25,3,lion,0.267009639647,space,1,correct,target,NaN,targetNaN,lion
26,3,coffeepot,0.666877364507,left,1,correct,path,1,path1,lion
27,3,mosquito,0.751155065838,left,1,correct,path,2,path2,lion
28,3,canoe,0.112940481165,right,1,correct,path,3,path3,lion
29,3,goose,0.700266964501,left,1,correct,decision,1,decision1,lion
30,3,sailor,1.03359909053,left,1,correct,arm1,1,arm11,lion
31,3,cooker,0.233684939565,left,1,correct,arm1,2,arm12,lion
32,3,tooth,0.166917209979,left,1,correct,arm1,3,arm13,lion
33,3,crutches,0.850295732031,left,1,correct,decision,2,decision2,lion
34,3,stapler,0.566911716247,right,1,correct,arm2,1,arm21,lion
35,3,rose,0.100253924262,right,1,correct,arm2,2,arm22,lion
36,3,lion,0.217123410432,left,1,correct,arm2,3,arm23,lion
37,4,bolt,0.300286646001,space,1,correct,target,NaN,targetNaN,bolt
38,4,coffeepot,0.783629125683,left,1,correct,path,1,path1,bolt
39,4,mosquito,0.750222017756,left,1,correct,path,2,path2,bolt
40,4,canoe,0.113547520712,right,1,correct,path,3,path3,bolt
41,4,domino,0.533607542515,right,1,correct,decision,1,decision1,bolt
42,4,ambulance,1.28361674934,right,1,correct,arm1,1,arm11,bolt
43,4,trunk,0.600270526484,left,1,correct,arm1,2,arm12,bolt
44,4,peach,0.233576873783,left,1,correct,arm1,3,arm13,bolt
45,4,garlic,0.833657530602,left,1,correct,decision,2,decision2,bolt
46,4,mug,1.26693960815,right,1,correct,arm2,1,arm21,bolt
47,4,branch,0.450243570609,left,1,correct,arm2,2,arm22,bolt
48,4,bolt,0.0670098206028,right,1,correct,arm2,3,arm23,bolt
49,5,bolt,0.183624235447,space,1,correct,target,NaN,targetNaN,bolt
50,5,coffeepot,0.800246800296,left,1,correct,path,1,path1,bolt
51,5,mosquito,0.366917632753,left,1,correct,path,2,path2,bolt
52,5,canoe,0.300273665925,right,1,correct,path,3,path3,bolt
53,5,domino,0.700244928943,left,1,correct,decision,1,decision1,bolt
54,5,ambulance,0.833652399015,right,1,correct,arm1,1,arm11,bolt
55,5,trunk,0.50024541188,left,1,correct,arm1,2,arm12,bolt
56,5,peach,0.11691718013,left,1,correct,arm1,3,arm13,bolt
57,5,garlic,0.48363890592,right,1,correct,decision,2,decision2,bolt
58,5,mug,0.616898464737,right,1,correct,arm2,1,arm21,bolt
59,5,branch,0.466924334178,left,1,correct,arm2,2,arm22,bolt
60,5,bolt,0.166911474895,right,1,correct,arm2,3,arm23,bolt
61,6,lion,0.150307383854,space,1,correct,target,NaN,targetNaN,lion
62,6,coffeepot,0.75029718061,left,1,correct,path,1,path1,lion
63,6,mosquito,0.483566157753,left,1,correct,path,2,path2,lion
64,6,canoe,0.114254777785,right,1,correct,path,3,path3,lion
65,6,goose,0.0169506261591,right,1,correct,decision,1,decision1,lion
66,6,sailor,1.133635676,left,1,correct,arm1,1,arm11,lion
67,6,cooker,0.517035448691,left,1,correct,arm1,2,arm12,lion
68,6,tooth,0.566927111242,left,1,correct,arm1,3,arm13,lion
69,6,crutches,0.583643192425,left,1,correct,decision,2,decision2,lion
70,6,stapler,0.483603588305,right,1,correct,arm2,1,arm21,lion
71,6,rose,0.150241880212,right,1,correct,arm2,2,arm22,lion
72,6,lion,0.367047734326,left,1,correct,arm2,3,arm23,lion
73,7,bolt,0.366922462592,space,1,correct,target,NaN,targetNaN,bolt
74,7,coffeepot,1.05022099148,left,1,correct,path,1,path1,bolt
75,7,mosquito,0.516920742113,left,1,correct,path,2,path2,bolt
76,7,canoe,0.113812251948,right,1,correct,path,3,path3,bolt
77,7,domino,1.28357479093,right,1,correct,decision,1,decision1,bolt
78,7,ambulance,1.03357373434,right,1,correct,arm1,1,arm11,bolt
