pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,beaver,3.78360601304,space,-1,miss,target,NaN,targetNaN,beaver
2,1,trophy,16.4000413547,right,-1,miss,path,1,path1,beaver
3,1,astronaut,4.0502650326,right,-1,miss,path,2,path2,beaver
4,1,robot,0.916917411254,left,-1,miss,path,3,path3,beaver
5,1,pigeon,15.9000763704,left,-1,miss,decision,1,decision1,beaver
6,1,bus,1.25024933591,right,-1,miss,arm1,1,arm11,beaver
7,1,deer,0.883726756821,left,-1,miss,arm1,2,arm12,beaver
8,1,fist,1.05023635595,left,-1,miss,arm1,3,arm13,beaver
9,1,holly,2.95025839169,left,-1,miss,decision,2,decision2,beaver
10,1,match,1.3835743178,right,-1,miss,arm2,1,arm21,beaver
11,1,baby,1.85023575223,left,-1,miss,arm2,2,arm22,beaver
12,1,arc,1.60024058199,left,-1,miss,arm2,3,arm23,beaver
13,2,arc,1.8670034412,space,0,wrong,target,NaN,targetNaN,arc
14,2,trophy,1.88400899541,right,0,wrong,path,1,path1,arc
15,2,astronaut,0.566907148032,right,0,wrong,path,2,path2,arc
16,2,robot,0.533662762618,left,0,wrong,path,3,path3,arc
17,2,pigeon,1.41694638976,right,0,wrong,decision,1,decision1,arc
18,2,bus,1.31798901232,right,0,wrong,arm1,1,arm11,arc
19,2,deer,0.61691348708,left,0,wrong,arm1,2,arm12,arc
20,2,fist,1.00023212992,left,0,wrong,arm1,3,arm13,arc
21,2,holly,1.05027106979,right,0,wrong,decision,2,decision2,arc
22,2,match,3.06689597923,right,0,wrong,arm2,1,arm21,arc
23,2,baby,1.13357673267,left,0,wrong,arm2,2,arm22,arc
24,2,arc,2.70023363922,left,0,wrong,arm2,3,arm23,arc
25,3,arc,1.10029401111,space,0,wrong,target,NaN,targetNaN,arc
26,3,trophy,0.950417773485,right,0,wrong,path,1,path1,arc
27,3,astronaut,0.41693008935,right,0,wrong,path,2,path2,arc
28,3,robot,1.31695514369,left,0,wrong,path,3,path3,arc
29,3,pigeon,0.783645556628,right,0,wrong,decision,1,decision1,arc
30,3,bus,1.10036977783,right,0,wrong,arm1,1,arm11,arc
31,3,deer,0.41695786042,left,0,wrong,arm1,2,arm12,arc
32,3,fist,1.31693763584,left,0,wrong,arm1,3,arm13,arc
33,3,holly,2.01698865008,left,0,wrong,decision,2,decision2,arc
34,3,match,2.48358578846,right,0,wrong,arm2,1,arm21,arc
35,3,baby,1.95023877083,left,0,wrong,arm2,2,arm22,arc
36,3,arc,1.98356828061,left,0,wrong,arm2,3,arm23,arc
