pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,2.45027549181,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,6.15015049189,left,1,correct,path,1,path1,lion
3,1,mosquito,3.48354158096,left,1,correct,path,2,path2,lion
4,1,canoe,0.114202685771,right,1,correct,path,3,path3,lion
5,1,goose,5.38357517787,left,1,correct,decision,1,decision1,lion
6,1,sailor,1.90023554073,right,1,correct,arm1,1,arm11,lion
7,1,cooker,1.95022764709,right,1,correct,arm1,2,arm12,lion
8,1,tooth,1.06689048521,right,1,correct,arm1,3,arm13,lion
9,1,crutches,6.73350090542,left,1,correct,decision,2,decision2,lion
10,1,stapler,2.36670336267,right,1,correct,arm2,1,arm21,lion
11,1,rose,0.433650597377,right,1,correct,arm2,2,arm22,lion
12,1,lion,2.53355451563,left,1,correct,arm2,3,arm23,lion
13,2,lion,3.65025599167,space,0,wrong,target,NaN,targetNaN,lion
14,2,coffeepot,4.80017978733,left,0,wrong,path,1,path1,lion
15,2,mosquito,0.550374109182,left,0,wrong,path,2,path2,lion
16,2,canoe,0.783658732515,right,0,wrong,path,3,path3,lion
17,2,domino,3.98357221967,left,0,wrong,decision,1,decision1,lion
18,2,ambulance,7.01681778239,right,0,wrong,arm1,1,arm11,lion
19,2,trunk,1.81691304917,left,0,wrong,arm1,2,arm12,lion
20,2,peach,4.35034078392,left,0,wrong,arm1,3,arm13,lion
21,2,crutches,3.75021756499,right,0,wrong,decision,2,decision2,lion
22,2,stapler,2.30023246174,right,0,wrong,arm2,1,arm21,lion
23,2,rose,0.483600443491,right,0,wrong,arm2,2,arm22,lion
24,2,lion,0.683690216392,left,0,wrong,arm2,3,arm23,lion
25,3,bolt,2.98359153865,space,1,correct,target,NaN,targetNaN,bolt
26,3,coffeepot,2.40023508793,left,1,correct,path,1,path1,bolt
27,3,mosquito,0.383588459692,left,1,correct,path,2,path2,bolt
28,3,canoe,0.433749909047,right,1,correct,path,3,path3,bolt
29,3,domino,6.23331209252,left,1,correct,decision,1,decision1,bolt
30,3,ambulance,3.63353963397,right,1,correct,arm1,1,arm11,bolt
31,3,trunk,1.30043229251,left,1,correct,arm1,2,arm12,bolt
32,3,peach,1.10028244962,left,1,correct,arm1,3,arm13,bolt
33,3,garlic,3.10037149809,right,1,correct,decision,2,decision2,bolt
34,3,mug,6.3668926284,right,1,correct,arm2,1,arm21,bolt
35,3,branch,0.666719089553,left,1,correct,arm2,2,arm22,bolt
36,3,bolt,2.61688727039,right,1,correct,arm2,3,arm23,bolt
37,4,bolt,2.23374344929,space,1,correct,target,NaN,targetNaN,bolt
38,4,coffeepot,1.26691052865,left,1,correct,path,1,path1,bolt
39,4,mosquito,0.366903495335,left,1,correct,path,2,path2,bolt
40,4,canoe,0.26691535837,right,1,correct,path,3,path3,bolt
41,4,domino,1.55023465023,right,1,correct,decision,1,decision1,bolt
42,4,ambulance,2.63355412323,right,1,correct,arm1,1,arm11,bolt
43,4,trunk,0.533658053319,left,1,correct,arm1,2,arm12,bolt
44,4,peach,1.36711208001,left,1,correct,arm1,3,arm13,bolt
45,4,garlic,2.76686509882,left,1,correct,decision,2,decision2,bolt
46,4,mug,2.10022449266,right,1,correct,arm2,1,arm21,bolt
47,4,branch,0.450243796571,left,1,correct,arm2,2,arm22,bolt
48,4,bolt,0.533588323829,right,1,correct,arm2,3,arm23,bolt
49,5,bolt,3.91692382551,space,1,correct,target,NaN,targetNaN,bolt
50,5,coffeepot,7.65012589036,left,1,correct,path,1,path1,bolt
51,5,mosquito,0.400257123634,left,1,correct,path,2,path2,bolt
52,5,canoe,0.233562635636,right,1,correct,path,3,path3,bolt
53,5,domino,1.28362115103,left,1,correct,decision,1,decision1,bolt
54,5,ambulance,0.78358749373,right,1,correct,arm1,1,arm11,bolt
55,5,trunk,0.333680572017,left,1,correct,arm1,2,arm12,bolt
56,5,peach,0.533613076288,left,1,correct,arm1,3,arm13,bolt
57,5,garlic,0.967172814067,right,1,correct,decision,2,decision2,bolt
58,5,mug,1.18359980959,right,1,correct,arm2,1,arm21,bolt
59,5,branch,0.416971670202,left,1,correct,arm2,2,arm22,bolt
60,5,bolt,0.333527831244,right,1,correct,arm2,3,arm23,bolt
61,6,bolt,1.35025384848,space,1,correct,target,NaN,targetNaN,bolt
62,6,coffeepot,1.36698590286,left,1,correct,path,1,path1,bolt
63,6,mosquito,0.216922950145,left,1,correct,path,2,path2,bolt
64,6,canoe,0.200283264654,right,1,correct,path,3,path3,bolt
65,6,domino,1.00026744723,left,1,correct,decision,1,decision1,bolt
66,6,ambulance,0.484010971966,right,1,correct,arm1,1,arm11,bolt
67,6,trunk,0.516748203838,left,1,correct,arm1,2,arm12,bolt
68,6,peach,0.200294131588,left,1,correct,arm1,3,arm13,bolt
69,6,garlic,0.883705731976,left,1,correct,decision,2,decision2,bolt
70,6,mug,0.950417818385,right,1,correct,arm2,1,arm21,bolt
71,6,branch,0.333644952625,left,1,correct,arm2,2,arm22,bolt
72,6,bolt,0.600464923511,right,1,correct,arm2,3,arm23,bolt
73,7,lion,1.10058944041,space,1,correct,target,NaN,targetNaN,lion
74,7,coffeepot,1.00024993942,left,1,correct,path,1,path1,lion
75,7,mosquito,0.217240505997,left,1,correct,path,2,path2,lion
76,7,canoe,0.450062681077,right,1,correct,path,3,path3,lion
77,7,goose,0.883665282832,left,1,correct,decision,1,decision1,lion
78,7,sailor,1.48364089261,right,1,correct,arm1,1,arm11,lion
79,7,cooker,0.766913698142,right,1,correct,arm1,2,arm12,lion
80,7,tooth,0.750861732493,right,1,correct,arm1,3,arm13,lion
81,7,crutches,1.83360767303,right,1,correct,decision,2,decision2,lion
82,7,stapler,1.06690044655,right,1,correct,arm2,1,arm21,lion
83,7,rose,0.266883059434,right,1,correct,arm2,2,arm22,lion
84,7,lion,1.66691590173,left,1,correct,arm2,3,arm23,lion
85,8,lion,0.683629844571,space,1,correct,target,NaN,targetNaN,lion
86,8,coffeepot,1.55025366734,left,1,correct,path,1,path1,lion
87,8,mosquito,0.216926270601,left,1,correct,path,2,path2,lion
88,8,canoe,0.333580958453,right,1,correct,path,3,path3,lion
89,8,goose,1.15031108097,left,1,correct,decision,1,decision1,lion
90,8,sailor,0.733637043915,right,1,correct,arm1,1,arm11,lion
91,8,cooker,0.250405472354,right,1,correct,arm1,2,arm12,lion
92,8,tooth,0.216900310712,right,1,correct,arm1,3,arm13,lion
93,8,crutches,1.35059223263,left,1,correct,decision,2,decision2,lion
94,8,stapler,0.550375618477,right,1,correct,arm2,1,arm21,lion
95,8,rose,0.250359589729,right,1,correct,arm2,2,arm22,lion
96,8,lion,0.350328709552,left,1,correct,arm2,3,arm23,lion
97,9,lion,0.533755251992,space,1,correct,target,NaN,targetNaN,lion
98,9,coffeepot,0.733818159439,left,1,correct,path,1,path1,lion
99,9,mosquito,0.216933515214,left,1,correct,path,2,path2,lion
100,9,canoe,0.233400839119,right,1,correct,path,3,path3,lion
101,9,goose,0.850286902045,right,1,correct,decision,1,decision1,lion
102,9,sailor,0.966909592855,right,1,correct,arm1,1,arm11,lion
103,9,cooker,0.166926014004,right,1,correct,arm1,2,arm12,lion
104,9,tooth,0.233537581313,right,1,correct,arm1,3,arm13,lion
105,9,crutches,1.41692458017,right,1,correct,decision,2,decision2,lion
106,9,stapler,0.517168995546,right,1,correct,arm2,1,arm21,lion
107,9,rose,0.266937997803,right,1,correct,arm2,2,arm22,lion
108,9,lion,0.250276276609,left,1,correct,arm2,3,arm23,lion
109,10,bolt,1.00063752659,space,1,correct,target,NaN,targetNaN,bolt
110,10,coffeepot,0.767226726137,left,1,correct,path,1,path1,bolt
111,10,mosquito,0.216934722645,left,1,correct,path,2,path2,bolt
112,10,canoe,0.30032875482,right,1,correct,path,3,path3,bolt
113,10,domino,0.933676708228,left,1,correct,decision,1,decision1,bolt
114,10,ambulance,0.550296833244,right,1,correct,arm1,1,arm11,bolt
115,10,trunk,0.600244566303,left,1,correct,arm1,2,arm12,bolt
116,10,peach,0.250316423888,left,1,correct,arm1,3,arm13,bolt
117,10,garlic,0.883735917887,left,1,correct,decision,2,decision2,bolt
118,10,mug,0.583580732084,right,1,correct,arm2,1,arm21,bolt
119,10,branch,0.416919448588,left,1,correct,arm2,2,arm22,bolt
120,10,bolt,1.06691040788,right,1,correct,arm2,3,arm23,bolt
121,11,lion,1.00028676621,space,1,correct,target,NaN,targetNaN,lion
122,11,coffeepot,1.00028193646,left,1,correct,path,1,path1,lion
123,11,mosquito,0.283362155868,left,1,correct,path,2,path2,lion
124,11,canoe,0.816913954739,right,1,correct,path,3,path3,lion
125,11,goose,2.53361368002,left,1,correct,decision,1,decision1,lion
126,11,sailor,0.617063556158,right,1,correct,arm1,1,arm11,lion
127,11,cooker,0.500612925069,right,1,correct,arm1,2,arm12,lion
128,11,tooth,0.450250739319,right,1,correct,arm1,3,arm13,lion
129,11,crutches,5.30022883945,right,1,correct,decision,2,decision2,lion
130,11,stapler,0.550257893396,right,1,correct,arm2,1,arm21,lion
131,11,rose,0.416965934885,right,1,correct,arm2,2,arm22,lion
132,11,lion,0.416941182426,left,1,correct,arm2,3,arm23,lion
133,12,lion,0.516938978864,space,1,correct,target,NaN,targetNaN,lion
134,12,coffeepot,1.01692856473,left,1,correct,path,1,path1,lion
135,12,mosquito,0.216710139415,left,1,correct,path,2,path2,lion
136,12,canoe,0.1668713775,right,1,correct,path,3,path3,lion
137,12,goose,0.516993917234,right,1,correct,decision,1,decision1,lion
138,12,sailor,0.600354744907,right,1,correct,arm1,1,arm11,lion
139,12,cooker,0.16690035598,right,1,correct,arm1,2,arm12,lion
140,12,tooth,0.233567163494,right,1,correct,arm1,3,arm13,lion
141,12,crutches,0.500283596688,left,1,correct,decision,2,decision2,lion
142,12,stapler,0.466759719799,right,1,correct,arm2,1,arm21,lion
143,12,rose,0.367159773741,right,1,correct,arm2,2,arm22,lion
144,12,lion,0.21702195995,left,1,correct,arm2,3,arm23,lion
