pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,beaver,0.733576409868,space,0,wrong,target,NaN,targetNaN,beaver
2,1,trophy,1.11696350924,left,0,wrong,path,1,path1,beaver
3,1,astronaut,3.90020921809,right,0,wrong,path,2,path2,beaver
4,1,robot,0.41689670796,right,0,wrong,path,3,path3,beaver
5,1,watch,2.5335414547,right,0,wrong,decision,1,decision1,beaver
6,1,clover,0.916919196374,left,0,wrong,arm1,1,arm11,beaver
7,1,radio,0.400268533267,right,0,wrong,arm1,2,arm12,beaver
8,1,wing,0.616912947968,left,0,wrong,arm1,3,arm13,beaver
9,1,stepladder,0.716945518448,right,0,wrong,decision,2,decision2,beaver
10,1,calc,0.783587412618,right,0,wrong,arm2,1,arm21,beaver
11,1,tongue,0.516958860622,right,0,wrong,arm2,2,arm22,beaver
12,1,beaver,0.416873464826,left,0,wrong,arm2,3,arm23,beaver
13,2,arc,0.650295474101,space,1,correct,target,NaN,targetNaN,arc
14,2,trophy,2.20022029628,left,1,correct,path,1,path1,arc
15,2,astronaut,0.350240626489,right,1,correct,path,2,path2,arc
16,2,robot,0.216924841166,right,1,correct,path,3,path3,arc
17,2,watch,0.833749948302,left,1,correct,decision,1,decision1,arc
18,2,clover,0.80024788616,left,1,correct,arm1,1,arm11,arc
19,2,radio,0.534408995823,right,1,correct,arm1,2,arm12,arc
20,2,wing,0.350910752255,left,1,correct,arm1,3,arm13,arc
21,2,holly,1.30029905122,left,1,correct,decision,2,decision2,arc
22,2,match,1.26692558074,right,1,correct,arm2,1,arm21,arc
23,2,baby,0.366994374315,left,1,correct,arm2,2,arm22,arc
24,2,arc,0.916900783021,left,1,correct,arm2,3,arm23,arc
25,3,beaver,2.13354066986,space,1,correct,target,NaN,targetNaN,beaver
26,3,trophy,0.416911197186,left,1,correct,path,1,path1,beaver
27,3,astronaut,0.467099994537,right,1,correct,path,2,path2,beaver
28,3,robot,0.300861715339,right,1,correct,path,3,path3,beaver
29,3,pigeon,0.616767452157,left,1,correct,decision,1,decision1,beaver
30,3,bus,0.733633159252,right,1,correct,arm1,1,arm11,beaver
31,3,deer,0.683565407177,left,1,correct,arm1,2,arm12,beaver
32,3,fist,0.566922471568,right,1,correct,arm1,3,arm13,beaver
33,3,stepladder,1.23367828713,left,1,correct,decision,2,decision2,beaver
34,3,calc,0.633589721867,right,1,correct,arm2,1,arm21,beaver
35,3,tongue,0.450279536017,right,1,correct,arm2,2,arm22,beaver
36,3,beaver,0.317049780395,left,1,correct,arm2,3,arm23,beaver
37,4,beaver,0.433670982136,space,1,correct,target,NaN,targetNaN,beaver
38,4,trophy,0.350214666629,left,1,correct,path,1,path1,beaver
39,4,astronaut,0.483582069748,right,1,correct,path,2,path2,beaver
40,4,robot,0.383549801074,right,1,correct,path,3,path3,beaver
41,4,pigeon,1.21696196974,left,1,correct,decision,1,decision1,beaver
42,4,bus,0.350343862025,right,1,correct,arm1,1,arm11,beaver
