pic_index,trial_num,pic_name,rt,resp,feedback_code,feedback,segment,segment_index,pic_type,trial_target
1,1,lion,1.65024572844,space,1,correct,target,NaN,targetNaN,lion
2,1,coffeepot,1.18357807572,left,1,correct,path,1,path1,lion
3,1,mosquito,0.38357065001,left,1,correct,path,2,path2,lion
4,1,canoe,0.733579690685,right,1,correct,path,3,path3,lion
5,1,goose,2.31693372654,right,1,correct,decision,1,decision1,lion
6,1,sailor,0.96689993341,right,1,correct,arm1,1,arm11,lion
7,1,cooker,0.583595825126,left,1,correct,arm1,2,arm12,lion
8,1,tooth,1.18362486397,right,1,correct,arm1,3,arm13,lion
9,1,crutches,1.25032276288,right,1,correct,decision,2,decision2,lion
10,1,stapler,1.10026131955,right,1,correct,arm2,1,arm21,lion
11,1,rose,0.400234786095,right,1,correct,arm2,2,arm22,lion
12,1,lion,0.26692592341,left,1,correct,arm2,3,arm23,lion
13,2,bolt,0.733584218542,space,1,correct,target,NaN,targetNaN,bolt
14,2,coffeepot,2.48355425906,left,1,correct,path,1,path1,bolt
15,2,mosquito,0.333634991315,left,1,correct,path,2,path2,bolt
16,2,canoe,0.216949513764,right,1,correct,path,3,path3,bolt
17,2,domino,0.833585335524,right,1,correct,decision,1,decision1,bolt
18,2,ambulance,0.650064612972,left,1,correct,arm1,1,arm11,bolt
19,2,trunk,0.434362079483,left,1,correct,arm1,2,arm12,bolt
20,2,peach,0.250525612268,left,1,correct,arm1,3,arm13,bolt
21,2,garlic,0.833890816895,right,1,correct,decision,2,decision2,bolt
22,2,mug,0.883644152666,right,1,correct,arm2,1,arm21,bolt
23,2,branch,0.300298568909,left,1,correct,arm2,2,arm22,bolt
24,2,bolt,0.333648876753,right,1,correct,arm2,3,arm23,bolt
25,3,lion,0.567104956135,space,-1,miss,target,NaN,targetNaN,lion
26,3,coffeepot,0.600435341359,left,-1,miss,path,1,path1,lion
27,3,mosquito,0.26691656583,left,-1,miss,path,2,path2,lion
28,3,canoe,0.250545233139,right,-1,miss,path,3,path3,lion
29,3,domino,3.93355566263,right,-1,miss,decision,1,decision1,lion
30,3,ambulance,0.783608623897,left,-1,miss,arm1,1,arm11,lion
31,3,trunk,0.15026187792,left,-1,miss,arm1,2,arm12,lion
32,3,peach,0.216913290671,left,-1,miss,arm1,3,arm13,lion
33,3,garlic,0.783668090124,right,-1,miss,decision,2,decision2,lion
34,3,mug,0.333653102745,right,-1,miss,arm2,1,arm21,lion
35,3,branch,0.534223435563,left,-1,miss,arm2,2,arm22,lion
36,3,bolt,0.200323411846,right,-1,miss,arm2,3,arm23,lion
37,4,lion,0.483548523742,space,1,correct,target,NaN,targetNaN,lion
38,4,coffeepot,1.6669168073,left,1,correct,path,1,path1,lion
39,4,mosquito,0.25026088173,left,1,correct,path,2,path2,lion
40,4,canoe,0.333586693741,right,1,correct,path,3,path3,lion
41,4,goose,0.683649163577,left,1,correct,decision,1,decision1,lion
42,4,sailor,0.933689084486,right,1,correct,arm1,1,arm11,lion
43,4,cooker,0.26695912797,left,1,correct,arm1,2,arm12,lion
44,4,tooth,0.317215059302,right,1,correct,arm1,3,arm13,lion
45,4,crutches,0.617018277291,right,1,correct,decision,2,decision2,lion
46,4,stapler,1.73363704397,right,1,correct,arm2,1,arm21,lion
47,4,rose,0.450242890976,right,1,correct,arm2,2,arm22,lion
48,4,lion,0.217107989825,left,1,correct,arm2,3,arm23,lion
49,5,bolt,0.550254271016,space,-1,miss,target,NaN,targetNaN,bolt
50,5,coffeepot,1.11691126821,left,-1,miss,path,1,path1,bolt
51,5,mosquito,0.366959037492,left,-1,miss,path,2,path2,bolt
52,5,canoe,0.114561294438,right,-1,miss,path,3,path3,bolt
53,5,goose,0.0169312814251,right,-1,miss,decision,1,decision1,bolt
54,5,sailor,3.61703880376,right,-1,miss,arm1,1,arm11,bolt
